sim_time_us,node_id,event,peer,detail
907322812,37,LIST,0x0012,
907655295,18,EOL,0x0025,
908234323,14,LIST,0x0008,
908555662,8,EOL,0x000e,
917621375,28,LIST,0x0026,
917714037,38,EOL,0x001c,
918964847,39,LIST,0x000a,
919068937,10,EOL,0x0027,
953482794,35,LIST,0x0019,
953674560,25,EOL,0x0023,
954339052,20,LIST,0x0026,
954514150,38,EOL,0x0014,
957609641,23,LIST,0x0008,
957949635,8,EOL,0x0017,
964610380,30,DELETE,0x0001,
964848559,1,SUCCESS,0x001e,
966209606,5,LIST,0x000e,
966319326,14,EOL,0x0005,
968555845,31,LIST,0x0027,
968873459,39,EOL,0x001f,
986820198,15,LIST,0x001e,
987137865,30,EOL,0x000f,
998507821,17,LIST,0x0002,
998614666,2,EOL,0x0011,
1000121552,12,LIST,0x0012,
1000189955,18,EOL,0x000c,
1004742479,33,LIST,0x000d,
1004923252,13,EOL,0x0021,
1005103978,33,ADD,0x000d,
1005380736,13,CELL_ALLOC,0x0021,slot=19 ch=12 dir=Receive
1005395587,13,SUCCESS,0x0021,
1005564194,33,CELL_ALLOC,0x000d,slot=19 ch=12 dir=Transmit
1009929663,16,LIST,0x0017,
1010105129,23,EOL,0x0010,
1013808494,2,LIST,0x0011,
1014139879,17,EOL,0x0002,
1031550782,13,LIST,0x0023,
1031703756,35,EOL,0x000d,
1034655411,30,ADD,0x0001,
1034960735,1,CELL_ALLOC,0x001e,slot=20 ch=0 dir=Receive
1034978443,1,SUCCESS,0x001e,
1035174472,30,CELL_ALLOC,0x0001,slot=20 ch=0 dir=Transmit
1036645338,34,LIST,0x0017,
1036729914,23,EOL,0x0022,
1037344736,9,LIST,0x001f,
1037509837,31,EOL,0x0009,
1039268963,33,LIST,0x0020,
1039399800,32,EOL,0x0021,
1039953043,32,LIST,0x0021,
1040195429,33,EOL,0x0020,
1040385021,32,ADD,0x0021,
1040511483,33,CELL_ALLOC,0x0020,slot=17 ch=13 dir=Receive
1040525499,33,SUCCESS,0x0020,
1040683850,32,CELL_ALLOC,0x0021,slot=17 ch=13 dir=Transmit
1041678105,24,LIST,0x0011,
1041770407,17,EOL,0x0018,
1043243946,1,LIST,0x0022,
